CAGDP9 Real GDP by county and metropolitan area 1/,,,,,,,,,,,,,
(thousands of chained 2012 dollars) ,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",35,    Retail trade,17363097,17215302,17881713,18377020,19213066,20454836,20704919,21311993,21481761,22231289
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),9937565,(D),(D),(D),(D),(D),(D)
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",45,    Information,21917918,23577548,25517625,35356225,38078970,44613200,55044861,69150012,78034796,81620946
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",71979214,73984170,80960282,81566223,86653251,88364473,91747183,97721780,99329439,99818337
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",51,      Finance and insurance,24428133,24414852,28421702,26267869,28668345,28691876,29573404,32743106,31311877,31538268
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,47552797,49542129,52538581,55346307,57982860,59725348,62254249,64882191,68302615,68550289
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",59,    Professional and business services,60991898,66777342,80452260,75617928,81935378,87651762,90250521,94209910,101134369,106252408
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",44035665,48623953,61640038,54496301,59749242,64538291,66983788,69490810,75220955,80352993
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",64,      Management of companies and enterprises,7321477,8169685,8334464,10357239,10779986,11436894,11188422,11796359,12314591,12483353
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,9641484,9990734,10477758,10759918,11399683,11684632,12070706,12895480,13575666,13439888
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",24972519,25039096,25684266,26445223,27392096,29057691,30093444,30191130,31024738,32521175
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",69,      Educational services,3761000,3861743,3895251,4030700,4311734,4463308,4617697,4618194,4568906,4898033
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",70,      Health care and social assistance,21209906,21177893,21789015,22414307,23076026,24594892,25476516,25574655,26471121,27629846
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",13041219,13914000,14298773,14623212,15691623,16774482,17230962,17422046,17734685,19089132
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",4308135,4462942,4722213,4612304,4852762,5025306,5174354,4944127,4999162,5123846
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",79,      Accommodation and food services,8731885,9452340,9576560,10009357,10835592,11741892,12049514,12459069,12714594,13926252
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),6643761,6660440,6595113,6852366,7143780,7314212,7416290,7473875,7946662,8045625
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",83,Government and government enterprises,34259259,34398916,34220917,34961170,35847783,36959713,38238350,38641911,38755681,39248136
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",87,Natural resources and mining,(D),(D),(D),793811,(D),(D),(D),(D),(D),(D)
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",88,Trade,32349707,33204996,34062594,35608323,38362833,41821762,41788367,43500609,42631781,43244485
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),13840736,(D),(D),(D),(D),(D),(D)
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",90,Manufacturing and information,69964148,61496916,64879370,78580177,86022380,94214847,109865465,131127435,141839991,147703695
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,(D),(D),(D),56364637,(D),(D),(D),(D),(D),(D)
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",92,Private services-providing industries 3/,(D),(D),(D),289861357,(D),(D),(D),(D),(D),(D)
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",1,All industry total,13071951,13373144,13751028,14249445,14505249,15358431,15632220,15842274,16352453,16660813
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",2,  Private industries,11294857,11528917,11914329,12412836,12660923,13457910,13662988,13872488,14391502,14712233
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D),(D),623926,743219,777583,671571,712943,(D)
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",97431,43321,48753,45774,49451,50451,47116,50443,48131,43258
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",10,    Utilities,2143273,2265521,2234065,2350485,2263546,2520883,2688355,2532913,2652515,2458814
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",11,    Construction,653875,644024,642257,661980,660862,697999,793368,821491,854049,885314
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",12,    Manufacturing,704178,735110,821124,885005,888188,886401,856214,892350,967786,989017
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",13,      Durable goods manufacturing,307991,348770,362692,391620,366988,367726,357703,373418,409008,399141
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,397851,385874,458432,493376,522391,519785,499393,519806,559472,592231
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",34,    Wholesale trade,371195,401304,393827,396496,415646,433298,390566,377161,359772,359633
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",35,    Retail trade,945195,966479,982367,1024146,1037067,1081413,1093609,1149772,1191503,1236524
